Timestamp,MatCode,Base,Length (m),Print and Dye,Remarks,Stitch and Applique,Remarks,Added expenses,Production cost,Added_to_catalogue,MatMaster,Remarks,
02/13/2023 01:06:04,PG-1-P1,382.5,1.5,80,abstract-block-print-in-black,,,24,486.5,,,,
25/07/2023 20:37:27,FS-1-P1,852.5,5.5,,,299.5,stitching-border,0,1152,1,,,
01/21/2023 00:02:11,CC-6-P1,443.3333334,5.5,250,Fishes-on-the-layered-tides-block-printed-in-black-and-maroon.,,,0,693.3333334,1,,,
01/21/2023 00:04:07,FPC-1-P1,383.3333333,1,,,0,stitching,0,383.3333333,1,,,
01/21/2023 00:51:02,CSC-2-P3,115,1,,,100,random-spirals-stitched,0,215,,CSC-3-P1,blouse,
01/21/2023 20:00:10,KS-1-P1,467.5,5.5,300,abstract-block-printed-in-blue,,,0,767.5,1,,,
01/21/2023 20:05:57,KS-2-P1,467.5,5.5,300,abstract-block-printed-in-red-and-black,,,0,767.5,1,,,
,SC-3-P1,269.5,2.75,,,,,,,,,,
01/30/2023 23:59:50,CS-5-P1,551.0882355,5.5,180,block-printed-steps-and-kolka-in-black,,,30,761.0882355,1,,,
01/30/2023 00:18:08,CSC-5-P1,551.0882355,5.5,180,block-printed-diagonally-in-blue-geometric-patterns,,,30,761.0882355,1,,,
01/30/2023 00:22:54,CSC-6-P1,414.0882353,5.5,180,block-printed-great-abstract-border-in-black-and-circular-madhubani-print-in-blue,,,30,624.0882353,1,,,
01/30/2023 00:28:32,MC-11-P1,168.5882353,1,,,150,stitching-etc,30,348.5882353,,CS-5-P1,blouse,
02/05/2023 22:30:58,AS-2-P1,220.9642857,1.5,,,500,stitching,0,720.9642857,1,,,
26/07/2023 00:09:47,MC-7-P1,413.5882352,2.75,80,block-printed-in-firozi-squares,507,stitching-and-tailoring,24,1024.588235,1,,,
02/13/2023 01:06:04,CaC-2-P6,270.0266667,3,200,"lime-green-dye-,-block-printed-with-Pharaoh,-and-Hyroglifics-in-the-theme-of-Egypt-in-brown.",,,24,494.0266667,1,,,
02/13/2023 01:06:04,KoC-1-P1,541.5,5.7,180,"dye-in-skyblue-and-yellow,-block-printed-birds-in-blue-with-flowers-in-red.",,,24,745.5,,,,
02/22/2023 12:38:12,PrC-8-P1,200,2,,,250,stitching,0,450,1,,,
03/07/2023 19:52:18,AM-2-P1,584.3342857,5.5,650,hand-paint-with-polash-phool-spreaded-all-over-the-saree-with-branches-in-the-pallu,,,0,1234.334286,1,,,
03/07/2023 21:56:36,ArS-7-P1,95.71428571,1,,,250,stitching,0,345.7142857,1,,,
03/07/2023 21:59:22,FR-2-P1,135,1,,,230,stitching,0,365,1,,,
03/11/2023 18:07:57,PrC-7-P1,282.6666666,2,,,250,stitching,0,532.6666666,1,,,
05/23/2023 20:27:54,AM-3-P1,561.1250002,5.5,650,hand-paint-with-polash-phool-spreaded-all-over-the-saree-with-branches-in-the-pallu,,,0,1211.125,1,,,
04/12/2023 09:15:55,SC-15-P1,196.6666667,2,150,hand-block-print-and-hand-paint-ektara-birds,,,0,346.6666667,1,,,
04/22/2023 21:38:25,H-4-P1,180.5226,1,0,royal-blue-dye,,,44.4208,224.9434,,O-2-P1,blouse,
,O-2-P1,769.6807998,5.5,,,,,,,,,,
,O-3-P1,769.6807998,5.5,,,,,,,,,,
04/22/2023 21:40:22,H-4-P2,180.5226,1,0,chocolate-dye,,,44.4208,224.9434,,O-3-P1,blouse,
,MoC-4-P1,726.37444,5.5,,,,,,,,,,
,MoC-3-P1,733.37792,5.5,,,,,,,,,,
25/07/2023 17:09:41,BT-1-P1,450,5.5,180,hand-block-print-with-leaves-in-orange-red-and-brown,,,0,630,1,,,
04/25/2023 18:34:19,BT-1-P2,450,5.5,180,red-blue-green-indian-flag-block-print,,,23.5,653.5,1,,,
04/25/2023 18:38:54,BT-1-P3,450,5.5,180,tree-made-with-square-green-blocks-and-the-stem-in-black.-Leaves-are-painted-discretely-all-over-the-saree.-The-pallu-has-a-gradient-of-color-on-trees-representing-jungle,,,23.5,653.5,1,,,
04/25/2023 18:45:24,CSC-7-P1,414.0882353,5.5,180,kothakoli-hand-block-print-in-firoji-and-black,,,23.5,617.5882353,,,,
04/25/2023 18:49:05,JM-1-P1,315,5.5,85,black-block-print-and-antant-logo-for-accessories,,,23.5,423.5,,,,
25/07/2023 22:05:24,CSC-10-P1,330,4,160,black-red-floral-block-print,585,stitching-and-tailoring,0,1075,1,,,
29/07/2023 10:58:26,SC-17-P1,245.8333333,2.5,80,black-red-floral-block-print,150,stitching-and-tailoring,0,475.8333333,1,,,
05/02/2023 01:35:48,KC-4-P1,188.6180556,1.57,51.025,face-block-print,250,tailoring-stitching,23.5,513.1430556,1,,,
04/25/2023 19:12:09,KC-4-P2,188.6180556,1.57,51.025,face-block-print,,,23.5,263.1430556,,,,
04/25/2023 19:12:33,KC-4-P3,377.2361111,3.14,102.05,book-block-print,,,23.5,502.7861111,1,,,
09/08/2023 02:08:52,KC-4-P4,64.87,0.54,17.55,black-leaf-block-print,100,stitching-and-tailoring,0,182.42,1,,,
04/25/2023 19:14:59,KC-4-P5,145.68,1.2126,39.4,red-leaf-block-print,,,23.5,208.58,,,,
04/26/2023 21:04:41,PrC-31-P1,296.1111112,2,,,200,tailoring-stitch,0,496.1111112,1,,,
04/28/2023 00:44:51,R-4-P1,454.8382352,2.75,200,block-printed-jamini-roy-woman-face,20,stitching-with-half-saree,0,674.8382352,1,,,
04/28/2023 00:50:39,R-6-P1,454.8382352,2.75,,,130,stitching-border-red-art-silk,0,584.8382352,,R-4-P1,half-saree,
04/28/2023 00:52:50,R-5-P1,165.3957219,1,100,block-printed-jamini-roy-woman-face,250,tailoring-stitching,0,515.3957219,1,R-4-P1,blouse,
04/29/2023 01:54:07,SC-11-P1,767.2142858,5.5,180,hand-block-print-flower-strings-and-leaves-in-pallu,,,0,947.2142858,1,,,
05/04/2023 16:55:09,C-4-P1,480,5.5,400,hand-block-printed-triangles,,,0,880,1,,,
24/09/2023 10:48:04,MoC-9-P1,687.5,5.5,,,600,stitching-and-tailoring,0,1287.5,1,,,
,MoC-9-P2,687.5,5.5,,,,,,,,,,
05/07/2023 01:09:23,AM-5-P1,484,5.5,650,hand-paint-with-polash-phool-spreaded-all-over-the-saree-with-branches-in-the-pallu,,,0,1134,1,,,
12/07/2023 11:36:10,AM-5-P2,484,5.5,650,hand-paint-with-polash-phool-spreaded-all-over-the-saree-with-branches-in-the-pallu,,,0,1134,1,,,
24/07/2023 10:57:10,AM-5-P3,484,5.5,650,hand-paint-with-polash-phool-spreaded-all-over-the-saree-with-branches-in-the-pallu,,,0,1134,1,,,
,AM-5-P4,484,5.5,,,,,,,,,,
,AM-5-P5,484,5.5,,,,,,,,,,
24/07/2023 16:00:45,PrC-33-P1,238.4812838,1.5,,,150,stitching-and-tailoring,0,388.4812838,1,,,
